population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),circle code,literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
14748,7695,7045,8,79.66,37.5,1929,1529,1,1485,1289,,535,556,,14667,81,11145,8706,709,3304,7403,1855503,81.72,83.66,3384,2816
13835,6892,6941,2,92.44,50,1179,1225,,1850,1854,1,1920,1748,,13790,45,11031,8912,1273,2843,8481,1855504,93.94,95.5,5071,4722
17932,9212,8712,8,80.27,62.5,2449,2013,,2207,2008,4,909,900,,17834,98,13775,10887,1014,3698,9535,1855505,82.56,84.72,1232,904
7457,3826,3630,1,88.53,100,618,545,,850,892,1,1158,1014,,7410,47,6029,4965,759,2060,4698,1855506,89.3,90.03,2340,2188
6600,3521,3079,,94.26,,644,478,,1005,844,,1180,1000,,6554,46,5466,4491,734,1219,4259,1855507,96.01,97.5,2798,2696
17348,8849,8499,,88.06,,2851,2373,,1708,1791,,408,442,,16742,606,13257,10319,815,5154,8636,1855601,89.49,90.86,5270,4014
14086,7160,6926,,88.22,,1843,1616,,1960,1938,,716,708,,14029,57,10944,8741,940,4047,7634,1855602,89.76,91.26,4886,3927
16464,8525,7937,2,80.59,50,2463,1931,,1910,1787,,502,594,1,16208,256,12626,9814,906,2488,8082,1855603,83.04,85.32,3681,2688
10718,5477,5240,1,91.63,,1408,1189,,1480,1485,,617,642,,10707,11,8326,6637,709,2430,5668,1855604,92.58,93.51,4359,3668
10387,5448,4939,,73.96,,1587,1202,,990,967,,269,281,,10009,378,7836,6148,550,2606,4934,1855701,75.55,76.95,2085,1600
7765,4029,3735,1,69.39,,1123,924,,720,741,,193,206,,7123,642,6021,4685,430,2124,3713,1855702,70.05,70.69,2130,1629
6428,3326,3102,,64.44,,971,906,,554,458,,101,92,,4910,1518,4931,3716,321,1863,2837,1855703,65.65,66.78,2472,1770
13886,7211,6673,2,65,,1887,1472,,1106,1036,,222,255,,9262,4624,10488,8143,738,3626,6067,1855704,67.64,70.12,6214,4354
7754,4183,3566,5,47.19,40,757,498,1,365,362,,41,50,,7659,95,5601,4204,286,1695,3086,1855705,48.19,49.01,1662,1104
8242,4299,3940,3,88.3,,1381,1098,,1008,999,,329,340,,8200,42,6372,5105,443,2316,4321,1855706,89,89.72,2392,1875
46968,24418,22546,4,67.86,75,6192,5088,,4247,4119,3,1121,1136,,43490,3478,35607,27699,2475,7376,21964,1855707,69.3,70.6,6929,5288
22720,11987,10731,2,43.64,100,1842,1462,,1081,873,1,357,312,,22115,605,15876,12058,1007,6276,8569,1855708,45.4,46.9,1944,1408
5777,3220,2557,,51.33,,607,382,,228,179,,42,36,,5283,494,4267,3240,210,1753,2469,1855709,54.93,57.65,424,290
16865,8996,7857,12,45.44,75,1681,1145,6,679,572,1,100,102,,14558,2307,12072,9037,654,4957,6381,1855710,48.71,51.42,1166,892
6622,3348,3274,,91.72,,551,517,,984,962,,873,805,,6601,21,5214,4307,477,1915,4119,1855801,93.98,96.22,1726,1487
13270,6837,6430,3,79.9,,1310,1081,,1659,1512,,1241,1248,,13187,83,10304,8112,842,3833,7553,1855802,81.41,82.87,2205,1915
5451,2719,2732,,92.92,,512,442,,771,769,,666,679,,5432,19,4307,3462,436,1418,3219,1855803,93.78,94.63,981,807
5558,2766,2792,,88.41,,454,430,,813,773,,562,578,,5542,16,4268,3465,368,1513,3170,1855804,90.25,92.14,714,644
5313,2714,2599,,91.99,,435,453,,778,760,,663,583,,5305,8,4191,3460,433,1876,3215,1855805,93.32,94.6,603,491
2356,1201,1154,1,96.24,100,226,221,,358,344,,296,271,1,2356,,1883,1549,189,627,1459,1855806,96.6,96.95,1258,1101
4557,2307,2250,,87.45,,407,367,,716,646,,410,402,,4519,38,3585,2911,306,777,2646,1855807,89.65,91.81,1056,965
10069,5235,4834,,57.6,,1105,874,,587,607,,235,205,,9870,199,7429,5642,486,3040,4464,1855808,59.87,61.96,2000,1543
9199,4794,4397,8,57.62,25,1140,993,,548,506,2,91,84,,8352,847,6799,5110,348,2665,4285,1855809,58.61,59.59,1645,1166
9597,4888,4707,2,69.95,50,975,818,1,1045,966,,653,632,,9463,134,7422,5897,638,2343,5130,1855810,71.83,73.63,6052,4347
13211,6770,6440,1,70.06,100,1536,1288,,1292,1261,,600,579,1,13177,34,9944,7792,743,3691,6419,1855811,72.82,75.45,4617,3679
17122,8968,8149,5,52.24,20,2030,1540,1,1114,893,,212,208,,16904,218,12530,9530,688,3404,7182,1855901,56.78,60.83,2598,2077
21101,11007,10093,1,63.13,100,2596,1964,,1833,1658,,573,569,,21012,89,15483,11863,890,2956,9774,1855902,66.12,68.82,3093,2108
18550,9818,8725,7,56.98,28.57,1961,1512,,1481,1466,1,300,351,,15420,3130,13856,10853,810,5573,8437,1856001,57.06,57.16,4894,3579
10137,5339,4794,4,78.96,25,1590,1297,,1067,1115,1,217,293,,9788,349,7891,6167,580,3166,5484,1856002,78.24,77.65,3606,2805
10703,5539,5163,1,82.03,,1681,1375,,1087,1201,,247,284,,10307,396,8165,6368,602,3118,5238,1856003,82.93,83.79,3728,2856
8687,4462,4222,3,86.72,66.67,1164,965,,1088,1113,1,326,388,1,8640,47,6859,5423,526,1778,4766,1856004,86.3,85.92,3153,2479
13654,7516,6132,6,71.78,83.33,1902,1474,2,1309,1194,1,258,277,,13311,343,10683,8494,677,3771,7142,1856101,69.79,68.2,4378,3641
13044,6992,6049,3,79.24,66.67,1952,1508,,1517,1525,2,449,488,,12864,180,10218,8107,776,3435,6781,1856102,78.19,77.29,5082,4100
9432,4864,4563,5,85.13,,1430,1108,,1198,1290,,349,448,,9384,48,7441,5881,557,2917,4827,1856103,85.31,85.59,3142,2579
10635,5517,5118,,87.92,,1513,1193,,1535,1591,,507,567,,10571,64,8392,6712,688,3121,5847,1856104,87.68,87.46,4560,3769
26516,13904,12607,5,45.95,,2779,2023,,1017,935,,102,100,,25139,1377,18828,13880,966,8400,9291,1856201,48.54,50.84,4983,3125
13101,6780,6320,1,87.9,,2097,1660,,1644,1677,,445,467,,13000,101,10148,7977,743,3965,6511,1856202,89.53,91.06,4376,3416
13365,6914,6448,3,79.55,33.33,1944,1589,,1680,1655,,455,565,,13318,47,10427,8189,756,3958,6713,1856203,79.88,80.21,4394,3482
7300,3773,3525,2,74.47,,1127,905,,667,632,,162,167,,7212,88,5390,4154,347,2066,3253,1856204,76.29,77.99,2700,1906
5789,2984,2804,1,89.12,,783,589,,896,900,,271,339,,5784,5,4630,3722,423,1206,3493,1856301,88.68,88.32,2089,1724
5886,3308,2578,,82.2,,918,608,,822,755,,206,227,,5858,28,4762,3862,405,1692,3301,1856302,79.65,77.73,3191,2579
14051,7138,6912,1,85.15,,2029,1621,,1624,1907,,511,614,,13905,146,10949,8601,846,4408,7301,1856303,84.63,84.15,7177,5700
21506,11253,10249,4,80.76,75,2974,2534,1,2047,2077,,450,543,,21043,463,16137,12513,1102,5042,10264,1856304,80.65,80.55,6816,5023
10223,5144,5078,1,81.2,,1517,1301,,1135,1256,,345,433,,10163,60,7920,6186,581,3454,5026,1856401,81.43,81.67,3405,2727
12941,6712,6226,3,78.35,66.67,2023,1488,1,1313,1439,,254,310,,12300,641,9896,7692,674,3441,5913,1856402,79.17,79.94,3240,2435
26681,14608,12071,2,44.12,50,2712,1871,1,1110,814,,143,147,,26200,481,19082,14229,969,6366,9754,1856403,46.8,48.89,4313,2696
14702,7657,7045,,84.77,,2155,1793,,1707,1660,,395,526,,14667,35,11311,8869,771,3373,7148,1856501,84.44,84.14,4184,3382
10325,5465,4859,1,84.11,100,1522,1187,,1412,1161,1,484,550,,10036,289,8142,6448,610,3108,5680,1856502,85.37,86.46,3303,2732
3656,2395,1261,,74.97,,525,322,,886,281,,71,56,,3572,84,3078,2277,188,1337,1937,1856503,77.65,78.88,1290,1049
1024,592,432,,87.24,,207,113,,132,111,,39,43,,1024,,834,664,72,345,589,1856504,86.21,85.51,915,703
5110,2881,2226,3,85.63,33.33,904,581,1,581,555,,160,137,,4985,125,4138,3304,256,1868,2870,1856505,86.01,86.36,2858,2129
4693,2461,2232,,91.87,,852,401,,607,730,,192,430,,4097,596,4093,3437,225,2109,3053,1856506,89.49,87.43,2220,1763
2907,1544,1363,,79.11,,485,403,,261,276,,51,46,,2687,220,2339,1894,172,913,1550,1856507,80.25,81.26,1663,1304
16052,8130,7912,10,77.42,20,2319,1990,1,1752,1846,1,531,538,,14782,1270,12522,9870,982,4915,7908,1856601,78.99,80.62,4188,3239
11950,6012,5931,7,93.35,57.14,1327,1216,3,1843,1850,,1041,1013,,11845,105,9555,7774,1003,3618,6956,1856602,93.86,94.41,4020,3581
9986,5027,4958,1,88.2,100,1134,1013,,1427,1387,1,947,918,,9586,400,8000,6434,818,3009,5830,1856603,89.91,91.61,3726,3212
6463,3288,3175,,88.5,,734,647,,955,955,,503,518,,6139,324,5176,4201,559,2045,3739,1856604,88.93,89.35,2577,2286
9416,4936,4478,2,90.75,50,992,818,,1506,1384,1,1077,931,,9220,196,7661,6249,672,2799,5836,1856701,92.08,93.3,2949,2523
17687,9068,8617,2,81.36,50,1898,1570,1,2348,2371,,1082,1125,,16583,1104,13967,11148,1344,5228,9856,1856702,81.91,82.44,5237,4566
10358,5375,4980,3,83.26,66.67,1127,955,,1368,1253,2,888,793,,9931,427,8322,6644,742,3450,5998,1856703,84.22,85.11,2872,2526
14709,7584,7120,5,90.92,80,1501,1242,,2107,2012,4,1817,1819,,13651,1058,12081,9996,1071,4478,9358,1856801,91.83,92.7,3958,3625
4578,2355,2223,,82.73,,552,459,,616,671,,343,326,,4418,160,3752,3068,306,1100,2798,1856802,81.61,80.57,1464,1278
16346,8695,7649,2,84.26,50,2713,1985,1,2199,2027,,766,807,,15420,926,13228,10681,1079,4220,9392,1856803,85.11,85.84,7081,5817
8362,4488,3874,,85.16,,1100,886,,1118,919,,961,688,,7738,624,6849,5598,603,2029,5136,1856804,88.39,91.14,3100,2716
8623,4509,4114,,88.97,,1126,905,,1194,1148,,656,556,,8453,170,6885,5554,618,2804,4996,1856901,89.64,90.25,2981,2523
9570,5062,4492,16,85.39,75,1284,1064,3,1424,1225,8,495,488,1,9167,403,7702,6226,686,2555,5441,1856902,85.43,85.51,2645,2257
7873,4537,3335,1,83.11,100,1407,978,,1180,819,1,362,195,,7842,31,6341,5185,408,3040,4256,1857001,83.68,84.06,2182,1627
8005,4209,3791,5,85.02,100,1246,981,2,1057,1074,1,259,260,1,7942,63,6352,5073,563,2482,3647,1857002,85.31,85.55,2450,1889
7582,4130,3452,,90.07,,1178,845,,1078,985,,493,432,,7149,433,6131,5039,536,2372,4388,1857003,89.25,88.59,2386,1982
8185,4279,3899,7,86.94,28.57,983,871,1,1189,1145,,459,492,1,8098,87,6593,5330,623,2365,4597,1857004,84.88,83.13,2460,2081
10181,5354,4826,1,52.7,100,1337,1041,1,740,455,,222,207,,9154,1027,7403,5512,482,262,4348,2590101,58.94,64.54,1851,1206
67099,36442,30636,21,64.32,66.67,9524,6527,3,5532,3825,3,1325,1084,,56602,10497,49389,37980,2644,18611,30474,2590102,69.37,73.46,12491,8259
20623,10760,9861,2,53.05,100,2434,1798,1,1226,972,1,549,418,,18739,1884,14700,11050,1050,3005,8845,2590103,58.12,62.61,3154,2060
16928,8926,7997,5,61.07,40,2576,1855,1,1279,881,1,256,220,,16488,440,12124,8928,700,1209,6945,2590104,68.22,74.52,3764,2483
3591,1865,1725,1,51.16,,434,350,,189,105,,32,21,,3522,69,2596,1920,182,213,1396,2590105,58.36,65.06,1011,667
3491,1840,1650,1,44.86,,371,237,,169,110,,33,30,,2292,1199,2492,1871,145,977,1452,2590106,51.36,57.14,819,617
3687,2009,1678,,51.45,,481,349,,210,149,,37,39,,3139,548,2769,2160,162,1168,1648,2590107,53.92,55.93,778,481
9936,5077,4858,1,58.11,100,1527,1233,1,661,440,,104,69,,9819,117,7105,4967,470,1647,3519,2590108,64.42,70.33,2681,1632
13375,7011,6362,2,64.53,50,1811,1346,,816,617,,175,104,,13251,124,9424,6880,544,2796,5419,2590109,69.62,74.13,2399,1454
1674,837,837,,42.42,,210,109,,53,32,,14,8,,1674,,1210,924,87,421,823,2590110,50.83,58.93,484,354
68100,35870,32223,7,69.9,14.29,9383,7189,,6971,5515,,2153,1869,1,62814,5286,50589,39396,3165,18030,32324,2590201,74.41,78.42,18030,12871
74875,39845,35021,9,74.18,88.89,10379,8109,4,9001,7030,4,2295,2073,,70627,4248,56627,44369,3474,23411,37273,2590202,77.9,81.14,9698,6838
119565,64101,55439,25,63.87,44,17564,12489,4,11440,8183,6,2463,2202,,59391,60174,91371,71594,5707,38775,60343,2590203,68.57,72.52,21686,16570
12014,6495,5519,,59.52,,1650,1116,,1065,634,,422,401,,11886,128,8917,6841,619,1229,5514,2590204,65.71,70.82,2627,1880
9597,5171,4426,,47.01,,1068,744,,559,309,,90,55,,6118,3479,7102,5440,478,2719,4128,2590205,53.87,59.58,2788,1753
33319,17295,16019,5,65.99,20,3988,3257,,2561,2263,,1254,1090,,31898,1421,24673,18517,1748,7317,14543,2590206,69.36,72.47,6143,3972
9455,4927,4527,1,64.43,,1442,1056,,735,506,,212,152,,9347,108,6766,4975,394,1651,3844,2590207,71.95,78.74,2097,1408
8741,4512,4228,1,60.35,100,1060,824,,415,225,,52,32,,7700,1041,6088,4456,439,2270,3525,2590301,67.02,73.17,1895,1121
9362,4965,4397,,57.64,,1328,927,,845,484,,162,121,,8721,641,6729,5054,459,2676,3739,2590302,66.52,74.24,2699,1805
4399,2314,2084,1,40.03,,363,304,,168,88,,15,15,,4194,205,3134,2320,259,767,1464,2590303,43.75,47.1,1219,687
21747,12242,9501,4,56.94,25,3238,1925,1,1419,804,,155,101,,20992,755,15863,12313,885,5019,10170,2590304,62.66,66.79,4559,2877
9471,5113,4358,,59.48,,1300,880,,648,419,,182,121,,8700,771,6951,5281,435,1412,4207,2590305,66.45,72.07,1267,778
16334,8406,7926,2,53.92,50,2243,1699,,1211,810,1,167,88,,15749,585,11662,8511,738,2930,6509,2590306,61.59,68.83,4391,2884
22161,11829,10332,,68.03,,2761,1966,,2195,1492,,1243,1072,,20772,1389,16589,13046,1273,5878,10823,2590307,72.7,76.63,4046,2585
33589,17569,16015,5,82.89,80,3390,2570,,3706,3371,2,3887,3380,2,32586,1003,26153,21047,2508,7442,18940,2590308,85.17,87.22,2631,1812
49629,26116,23506,7,57.42,42.86,6690,4982,,3410,2523,1,620,570,1,46978,2651,35848,27039,1918,10683,20929,2590309,62.11,66.24,8222,5526
4643,2389,2253,1,50.73,100,635,469,,234,144,1,39,33,,4353,290,3263,2358,233,453,1540,2590310,57.71,64.2,1102,622
93665,47561,46090,14,84.43,57.14,7015,6356,,9382,9684,5,14500,13177,3,91121,2544,74442,60660,8929,28169,55756,2590401,86.11,87.77,22717,20811
35060,17813,17246,1,84.08,100,2442,2330,1,3886,3725,,5471,4695,,34274,786,27631,22286,2816,8573,20436,2590402,86.32,88.47,6173,5452
98878,51885,46975,18,58.27,50,11456,8469,2,7015,5727,4,2748,2467,,92743,6135,72363,55111,4311,23502,42677,2590403,62.46,66.19,7147,5810
36176,18697,17471,8,78.84,87.5,3695,3199,1,3776,3196,3,2820,2462,3,34709,1467,27171,21646,2079,10067,18502,2590404,81.49,83.94,4028,2785
23227,12064,11161,2,63.4,,3421,2634,,1383,1053,,236,212,,23019,208,16631,12571,978,7047,9421,2590405,68.59,73.32,4276,3232
18234,10410,7821,3,85.56,66.67,2799,1611,1,2579,1920,,1545,1207,,16868,1366,14952,12382,1340,6246,11394,2590501,87.59,89.06,4671,3845
4820,2833,1986,1,84.42,,775,316,,539,371,,722,650,,4636,184,4173,3601,536,2384,3480,2590502,86.13,87.31,1098,992
16852,9586,7262,4,83.09,75,2613,1519,3,2422,1804,,1371,1110,,16287,565,13825,11439,1057,6817,10526,2590601,85.39,87.05,4732,4261
3027,1676,1351,,82.93,,363,184,,333,279,,457,421,,2812,215,2529,2121,365,1126,1998,2590701,83.91,84.68,731,716
26275,14561,11711,3,74.26,33.33,3861,2649,,3321,2229,1,1898,1275,,18297,7978,21113,17216,1458,5914,15253,2590801,79.45,83.46,6635,5559
9089,4485,4603,1,90.92,100,754,675,,978,1300,1,1390,1317,,8918,171,7587,6191,1096,3219,5817,2590901,92.08,93.29,3879,3584
6346,3209,3137,,87.36,,593,515,,717,677,,962,958,,6252,94,5242,4266,724,1900,4046,2590902,89.16,90.95,2774,2710
9531,4869,4661,1,84.39,100,857,739,,973,1023,,1416,1261,,9412,119,7787,6309,1002,3055,5947,2590903,85.67,86.88,3562,3408
6424,3379,3045,,88.61,,673,455,,712,710,,994,853,,6373,51,5261,4246,722,1995,3906,2590904,90.48,92.15,2123,2035
7239,3612,3625,2,71.39,50,893,727,,626,707,,270,479,,3247,3992,5757,4597,304,2524,4035,2591001,71.81,72.26,2338,1860
9823,5172,4649,2,83.98,50,1251,905,,1331,1192,,814,794,,9661,162,7975,6398,671,2947,5801,2591002,86.32,88.38,2635,2300
8768,4570,4197,1,49.76,100,794,492,,452,309,,206,144,1,6707,2061,6170,4553,377,2536,3558,2591003,59.35,67.86,2320,1960
8857,4551,4306,,65.23,,1250,1020,,883,753,,167,181,,4516,4341,6831,5268,397,1193,4475,2591004,69.32,73.24,2303,1749
12362,6386,5976,,77.19,,2003,1578,,1453,1315,,404,356,,12286,76,9440,7565,641,2733,6458,2591005,80.51,83.55,4058,3300
11266,5695,5571,,91.39,,999,963,,1681,1772,,1321,1194,,8269,2997,9224,7673,1118,3561,7159,2591101,92.32,93.26,4079,3915
11208,6029,5177,2,86.34,50,1271,1109,,1831,1351,,961,743,,10893,315,9019,7278,597,3316,6567,2591102,89.19,91.62,1754,1556
11753,6081,5672,,83.9,,1167,957,,1593,1392,,1265,1118,,11674,79,9397,7632,878,4088,6877,2591103,86.33,88.56,2597,2359
8762,4469,4289,4,85.29,25,760,697,,1073,1003,1,1075,972,,7722,1040,6990,5695,799,1758,5155,2591104,88.11,90.92,3213,3007
54044,28534,25480,30,70.21,60,7620,5790,10,5029,4311,5,1431,1362,,51556,2488,41141,32032,2486,18397,26144,2591201,74.1,77.54,12099,9791
27804,15159,12628,17,75.81,47.06,4748,3323,3,3171,2479,5,720,692,,27464,340,21423,17266,1456,9096,14667,2591202,79.69,82.89,6697,5461
11791,5936,5854,1,78.52,100,1397,1239,,1284,1319,1,585,683,,6644,5147,9171,7407,906,2730,6268,2591203,79.27,80.03,3874,3314
10022,5175,4844,3,72.59,66.67,1663,1381,,789,922,1,142,168,,7500,2522,7705,5983,545,3119,4944,2591204,74.3,75.94,3197,2523
16800,8866,7916,18,72.06,22.22,2087,1688,2,2104,1757,,517,513,1,16641,159,13014,10314,942,5070,9238,2591301,74.91,77.59,4552,3895
12187,6302,5881,4,69.25,75,1553,1278,2,1283,1212,,280,328,1,9395,2792,9316,7311,662,2670,6143,2591302,71.65,73.91,4196,3376
7397,3706,3685,6,86.88,83.33,879,754,2,1123,1113,2,489,564,1,1953,5444,6003,4911,608,1684,4497,2591303,88.81,90.75,2385,2172
12757,6430,6321,6,83.23,33.33,1504,1364,1,1982,1902,1,749,813,,2366,10391,10348,8522,1089,4393,7632,2591304,84.64,86.11,3377,3027
6557,3377,3176,4,84.79,25,866,776,,956,775,1,294,306,,6435,122,5021,4037,442,411,3578,2591401,87.65,90.46,2139,1776
13682,7134,6546,2,80.93,,1966,1627,,1813,1494,,543,557,,13392,290,10493,8314,811,2929,7301,2591402,83.83,86.49,4190,3359
17065,8867,8197,1,78.23,100,2298,1929,,1934,1708,1,652,595,,16237,828,13064,10212,917,4867,8772,2591403,81.78,85.11,4136,3242
4363,2207,2156,,83.79,,540,497,,581,501,,286,277,,4283,80,3393,2697,242,1370,2364,2591404,86.94,90.03,888,705
16729,8643,8081,5,78.74,80,2696,2218,3,1811,1706,,489,502,,16627,102,12755,9983,953,4794,8447,2591501,82.03,85.15,5199,4000
4132,2126,2006,,72.4,,639,474,,456,394,,82,62,,3821,311,3105,2454,227,1260,2040,2591502,77.04,81.21,1206,925
11877,6301,5576,,70.41,,1738,1291,,1373,1065,,486,423,,10735,1142,9044,7191,560,3785,6073,2591503,75.82,80.54,3544,2719
12144,6484,5653,7,68.85,71.43,1818,1445,2,1171,944,1,285,235,1,11300,844,9230,7180,648,3333,5991,2591504,72.63,75.91,3144,2322
8524,4561,3960,3,70.1,33.33,1316,928,1,831,629,,177,158,,7774,750,6479,5042,423,2768,4260,2591505,75.23,79.59,509,385
5110,2616,2494,,74.71,,688,596,,561,485,,113,127,,4988,122,3867,3031,230,1341,2592,2591506,78.43,82.06,1520,1145
30203,15838,14362,3,70.14,66.67,4137,3418,2,3141,2374,,750,680,,28342,1861,22744,17443,1472,8639,14203,2591601,74.05,77.58,4094,2882
14561,7639,6918,4,77.01,25,2135,1674,,1533,1336,,382,424,,14435,126,10962,8570,655,3257,7560,2591602,80.11,82.98,4422,3239
55536,29190,26330,16,62.66,25,8118,6414,1,4497,3488,2,844,758,1,54605,931,41211,31511,2397,15573,24751,2591603,67.1,71.11,7965,5699
27091,15538,11551,2,63.24,50,4568,2680,,2599,1591,,478,376,,26552,539,20886,16880,1286,5625,14234,2591604,66.83,69.31,4954,3524
9694,5167,4527,,71.12,,1679,1249,,829,791,,190,171,,9637,57,7375,5726,478,2942,4680,2591605,75.01,78.39,3257,2376
19083,10018,9063,2,58.27,50,2568,1971,1,1331,1101,,194,185,,18671,412,14195,10864,784,4953,8310,2591606,62.94,67.09,4749,3108
30067,15751,14303,13,69.52,23.08,4178,3244,,2780,2177,1,711,631,1,29647,420,22517,17337,1315,9124,13976,2591607,73.72,77.51,5879,4408
16300,8381,7918,1,70.57,100,2673,2273,1,1259,1221,,260,219,,16131,169,12068,9270,806,4732,7205,2591608,73.89,77.05,1976,1400
25823,13485,12324,14,56.31,35.71,3243,2473,2,1685,1277,1,344,293,,25457,366,18561,13989,1040,7659,11186,2591609,60.47,64.21,4041,2619
26222,13779,12439,4,47.49,50,3119,2460,1,1437,1098,1,239,226,,24518,1704,18663,13921,933,3847,10310,2591610,50.93,54.02,3952,2692
17138,8827,8308,3,63.31,66.67,2300,1913,1,1264,1030,1,230,221,,16217,921,12577,9584,672,3403,7714,2591611,67.98,72.3,2154,1382
6661,3352,3304,5,91.75,40,660,680,,834,883,1,825,640,,6594,67,5237,4224,534,1761,3825,2591701,93.89,96.13,1489,1318
7977,4078,3899,,89.54,,1037,1012,,1173,1044,,464,441,,7802,175,6199,4922,575,2208,4454,2591702,91.45,93.34,2725,2486
13155,6711,6442,2,91.89,50,1075,979,,1855,1897,,1955,1694,1,12967,188,10747,8790,1289,4698,8462,2591703,93.28,94.66,3531,3450
16577,8552,8025,,79.44,,2078,1772,,2181,2070,,692,712,,15355,1222,12821,10159,1086,4758,8676,2591704,80.83,82.14,4674,3964
7532,4003,3529,,77.28,,1132,843,,918,779,,366,346,,6881,651,5820,4731,451,2311,4025,2591705,81,84.26,1910,1654
7947,4053,3894,,84.62,,1084,944,,1035,987,,445,469,,7795,152,6212,4927,529,2388,4368,2591706,86.83,88.99,2276,2030
15187,7796,7391,,88.7,,2104,1768,,2225,2157,,908,914,,15087,100,11813,9312,979,2147,8432,2591707,90.32,91.85,4612,4113
20014,10280,9730,4,83.11,75,2373,1850,1,2696,2681,1,1491,1395,1,19617,397,15802,12563,1268,4792,11005,2591801,85.13,87.05,4084,3598
10317,5246,5069,2,90.38,50,1251,1146,,1575,1402,1,717,698,,10211,106,8025,6483,706,1948,5871,2591802,91.78,93.13,2560,2172
7109,3574,3535,,88.86,,560,465,,841,831,,1087,1079,,7000,109,5746,4744,825,1774,4447,2591803,90.05,91.22,2611,2335
10416,5518,4897,1,90.58,100,1286,1037,,1661,1373,,971,885,1,10381,35,8222,6647,699,2478,6110,2591804,92.74,94.64,2792,2487
11219,5770,5446,3,75.75,100,1464,1191,2,1137,995,,478,489,,9127,2092,8554,6725,609,2972,5776,2591901,78.79,81.63,2656,2154
21582,11055,10525,2,77.71,100,2862,2542,,2420,2110,,1039,1048,2,18069,3513,16439,13008,1259,4974,11528,2591902,80.56,83.32,4281,3551
8816,4496,4319,1,87.08,100,1006,854,,1169,1092,1,872,827,,8425,391,6950,5692,716,2171,5279,2591903,89.42,91.68,2978,2634
4902,2486,2416,,83.32,,745,631,,577,544,,178,194,,4893,9,3669,2899,243,1641,2615,2592001,86.84,90.21,1363,1211
12640,6561,6077,2,82.49,100,1934,1600,2,1657,1389,,598,603,,12477,163,9879,7825,708,5514,6965,2592002,84.97,87.2,4634,3993
10608,5699,4908,1,85.03,100,1876,1366,,1570,1269,1,418,430,,10423,185,8346,6672,564,3314,5901,2592003,87.62,89.81,3051,2560
21663,11612,10049,2,62.84,,3114,2198,,1821,1378,,419,399,,18227,3436,16434,12874,955,7371,10351,2592004,66.78,70.09,4194,3306
13688,7005,6679,4,85.02,50,1537,1462,,2132,1741,1,1109,1043,1,13326,362,10635,8495,948,4948,7672,2592005,87.7,90.28,3771,3259
13257,6832,6423,2,83.84,100,1871,1551,,1697,1516,,614,697,1,12319,938,10174,8240,823,3170,7346,2592006,86.04,88.11,4001,3491
15665,8144,7519,2,68.58,50,1956,1599,,1156,986,,213,223,1,12504,3161,11684,8967,710,4690,8140,2592101,71.28,73.7,5745,4187
17334,8866,8468,,85.12,,2537,2145,,2132,1930,,675,739,,17167,167,13180,10544,1044,4487,9146,2592102,87.45,89.68,5559,4593
10769,5520,5249,,81.7,,1481,1203,,1265,1245,,382,435,,10584,185,8229,6520,612,1663,5630,2592103,83.32,84.86,3226,2655
6212,3247,2962,3,95.61,100,594,569,,953,907,2,867,740,1,6113,99,5217,4352,720,2032,4158,2592201,96.17,96.67,2597,2560
9193,5074,4118,1,86.41,100,1140,677,,1173,922,1,1380,1248,,9055,138,7795,6457,982,3674,6217,2592202,87.61,88.54,2994,2911
14213,8229,5978,6,64.65,33.33,1771,1235,1,1882,876,1,1058,515,,13107,1106,11381,9312,829,4431,8522,2592203,71.71,76.57,3889,3128
5314,2845,2467,2,89.87,100,521,369,,696,562,1,914,792,,5290,24,4499,3782,648,1770,3578,2592204,91.31,92.52,2631,2491
18848,9736,9110,2,96.01,50,1187,779,,3168,3391,,3799,3472,1,17667,1181,17172,15729,944,4721,15172,2592301,95.94,95.87,2932,2757
12494,6769,5718,7,66.44,14.29,1437,1014,,1170,886,,759,597,,12430,64,9575,7569,707,3383,6436,2592302,71.1,75.03,3849,3077
11988,6539,5443,6,82.01,50,936,789,1,1434,1161,2,2032,1424,,11608,380,9969,8213,1141,3297,7602,2592303,85.04,87.55,3295,3245
4228,3132,1096,,86.97,,505,231,,941,251,,1007,149,,4218,10,3721,3284,138,1112,3000,2592304,92.07,93.62,654,556
5431,2720,2711,,92.95,,373,371,,527,622,,1135,1012,,5375,56,4486,3735,669,1614,3511,2592305,94.29,95.65,1766,1795
14054,7439,6614,1,84.33,100,1406,1157,,1787,1474,1,1487,1275,,13973,81,11226,9094,1117,4629,8105,2592306,86.76,88.89,4087,3817
5691,2868,2823,,93.12,,381,370,,723,729,,1069,993,,5611,80,4741,3957,694,1540,3771,2592307,94.33,95.52,2459,2468
14289,7374,6913,2,77.69,100,1292,1012,,1582,1426,2,1709,1524,,13698,591,11391,9224,1113,4608,8232,2592401,80.3,82.68,2638,2492
